gene_name,0x58_rep2_state1,0x58_rep3_state1,0x58_rep2_state2,0x58_rep3_state2,0x58_rep2_state3,0x58_rep3_state3,0x58_rep2_state4,0x58_rep3_state4,0x58_rep2_state5,0x58_rep3_state5,0x58_rep2_state6,0x58_rep3_state6,0x58_rep2_state7,0x58_rep3_state7,0x58_rep2_state8,0x58_rep3_state8,0x58modified_state3,Control_rep1,Control_rep2
yggR_locusTag_ECDH10B_3125,5,28,5,20,9,18,8,47,19,22,21,20,9,26,36,23,21,5,30
yggS_locusTag_ECDH10B_3126,155,449,135,300,211,291,123,677,372,285,312,205,128,176,372,225,13,147,415
yggT_locusTag_ECDH10B_3127,100,265,91,86,155,134,65,268,232,146,215,91,91,97,290,117,1,95,209
yggU_locusTag_ECDH10B_3128,4,5,0,5,0,4,1,5,9,1,7,1,1,1,8,4,26,5,4
yggV_locusTag_ECDH10B_3129,130,309,90,202,194,231,109,379,359,196,270,151,124,117,331,178,43,107,287
yggW_locusTag_ECDH10B_3130,349,876,239,437,471,312,195,812,871,346,564,251,299,183,762,251,31,255,513
yggX_locusTag_ECDH10B_3137,156,715,103,342,329,361,211,766,584,329,518,401,142,339,814,352,7,106,444
yghA_locusTag_ECDH10B_3180,15,94,22,45,60,61,38,130,48,26,83,47,42,37,134,52,25,16,92
yghB_locusTag_ECDH10B_3184,98,922,122,459,244,361,124,1041,462,466,249,222,152,271,558,459,0,264,1501
yghD_locusTag_ECDH10B_3145,8,20,8,8,10,10,2,28,33,10,17,14,11,7,31,13,0,8,30
yghE_locusTag_ECDH10B_3144,7,16,3,10,1,5,1,10,22,3,7,3,6,0,12,1,1,2,8
yghF_locusTag_ECDH10B_3143,17,32,10,14,9,11,9,20,33,13,17,3,3,7,9,4,1,7,23
yghG_locusTag_ECDH10B_3142,7,30,7,9,8,11,4,18,30,4,16,5,7,2,26,4,1,6,14
yghO_locusTag_ECDH10B_3158,2,18,3,12,7,7,1,16,9,4,13,5,9,7,19,13,1,5,14
yghQ_locusTag_ECDH10B_3160,2,10,5,12,11,13,2,20,20,7,4,4,5,4,32,9,0,2,11
yghR_locusTag_ECDH10B_3161,1,10,1,3,8,4,3,7,7,6,9,4,4,2,12,5,0,2,4
yghS_locusTag_ECDH10B_3162,2,11,4,2,14,15,7,17,22,17,18,11,9,15,31,13,1,3,14
yghT_locusTag_ECDH10B_3163,2,8,2,4,6,0,2,5,0,2,3,1,1,2,5,1,53,3,7
yghU_locusTag_ECDH10B_3166,201,793,151,583,562,745,250,1740,869,779,910,702,513,759,1580,954,0,286,912
yghW_locusTag_ECDH10B_3175,0,8,1,3,3,3,3,4,9,3,5,5,1,2,6,5,1,3,11
yghX_locusTag_ECDH10B_4562,4,20,2,5,13,7,7,41,21,21,18,7,7,16,39,22,36,7,17
yghZ_locusTag_ECDH10B_3178,74,1798,82,1026,347,1093,158,2897,601,1494,575,1592,406,1752,1549,2673,6,378,2533
ygiA_locusTag_ECDH10B_3210,4,29,5,15,14,17,6,32,27,12,13,13,19,17,21,27,74,15,13
ygiB_locusTag_ECDH10B_3211,190,1036,229,638,498,633,273,1234,995,619,846,624,458,465,862,586,262,405,1235
ygiC_locusTag_ECDH10B_3212,1418,4365,1337,2235,2561,1983,1301,5226,4719,2320,3640,1926,1980,1847,5537,2287,2,1453,3122
ygiD_locusTag_ECDH10B_3213,14,90,21,44,33,37,19,132,41,57,45,28,19,37,69,46,24,39,146
ygiF_locusTag_ECDH10B_3229,187,760,158,452,249,314,129,699,482,478,391,360,252,332,549,364,22,244,819
ygiH_locusTag_ECDH10B_3234,155,545,115,327,230,270,161,687,323,275,314,189,138,186,375,208,2,184,423
ygiL_locusTag_ECDH10B_3217,22,40,6,17,25,23,4,29,59,21,36,7,12,12,55,14,33,13,38
ygiN_locusTag_ECDH10B_3203,175,1017,173,723,368,741,233,1775,573,540,562,579,237,455,835,790,0,269,1425
ygiP_locusTag_ECDH10B_3235,10,112,2,93,5,15,4,39,10,29,6,6,5,5,14,16,136,32,356
ygiQ_locusTag_ECDH10B_3190,991,2912,789,1345,1207,888,608,2135,1956,884,1251,502,451,379,1203,343,17,704,1332
ygiS_locusTag_ECDH10B_3194,123,744,124,447,230,344,100,825,308,279,265,221,107,167,355,231,4,126,626
ygiT_locusTag_ECDH10B_3195,17,127,29,69,38,42,15,110,41,26,32,48,12,37,59,63,5,28,143
ygiV_locusTag_ECDH10B_3197,26,69,23,42,57,37,35,90,56,28,53,24,25,23,90,25,45,28,86
ygiW_locusTag_ECDH10B_3198,156,509,125,360,304,371,171,917,403,298,433,311,206,273,589,321,0,251,824
ygiZ_locusTag_ECDH10B_3201,0,9,1,6,4,7,1,26,6,8,5,4,4,5,12,8,45,1,7
ygjD_locusTag_ECDH10B_3239,449,1029,311,591,659,462,310,1128,936,509,728,405,367,335,1044,483,0,431,787
ygjE_locusTag_ECDH10B_3238,3,5,0,9,1,1,3,8,8,1,5,5,0,5,9,4,22,4,14
ygjG_locusTag_ECDH10B_3248,55,147,51,80,252,133,124,273,186,70,237,89,142,100,411,107,0,74,159
ygjH_locusTag_ECDH10B_3249,5,18,1,15,1,11,0,27,9,19,10,6,5,14,18,20,0,7,27
ygjI_locusTag_ECDH10B_3253,6,10,2,9,5,5,4,18,16,4,5,8,3,3,9,4,1,5,9
