"","gene_id","locus_tag","norm_count","raw_count","K12_DH10B_GSE98890"
"784","fliH","ECDH10B_2082",0.849189100189102,3,1
"785","fliI","ECDH10B_2083",0.634009097813515,2.5,1
"786","fliJ","ECDH10B_2084",0,0,1
"787","fliK","ECDH10B_2085",1.05283819325144,4.5,1
"788","fliL","ECDH10B_2086",0.418829095437928,2,1
"789","fliM","ECDH10B_2087",0.486712126458708,2.5,1
"790","fliN","ECDH10B_2088",0.203649093062341,1.5,1
"791","fliO","ECDH10B_2089",0,0,1
"792","fliP","ECDH10B_2090",0.701892128834295,3,1
"793","fliQ","ECDH10B_2091",0,0,1
"794","fliR","ECDH10B_2092",0.13576606204156,1,1
"795","fliS","ECDH10B_2066",0.283063033396367,1,1
"796","fliT","ECDH10B_2067",0.203649093062341,1.5,1
"797","fliY","ECDH10B_2061",160.5009950631,828.5,1
"798","fliZ","ECDH10B_2062",0.905541221896636,4.5,1
"799","flk","ECDH10B_2483",75.0896244510977,328.5,1
"800","flu","ECDH10B_2146",520.749359679122,1311,1
"801","flxA","ECDH10B_1698",2.51297457262757,12,1
"802","fmt","ECDH10B_3462",372.870790097586,1725.5,1
"803","fnr","ECDH10B_1454",736.158889764712,3662.5,1
"804","focA","ECDH10B_0974",625.550238248197,3323,1
"805","focB","ECDH10B_2658",2.09414547718964,10,1
"806","folA","ECDH10B_0049",111.704626668472,468,1
"807","folB","ECDH10B_3233",15.544102593315,63.5,1
"808","folC","ECDH10B_2477",126.60820803968,561.5,1
"809","folD","ECDH10B_0485",293.577245593805,1455,1
"810","folE","ECDH10B_2310",221.553888447955,1148,1
"811","folK","ECDH10B_0122",14.0378425766859,60,1
"812","folM","ECDH10B_1739",18.7909571729992,88.5,1
"813","folP","ECDH10B_3351",55.0408775669259,240.5,1
"814","folX","ECDH10B_2465",71.5762565323501,333,1
"815","fpr","ECDH10B_4113",250.483399657706,1417.5,1
"816","frc","ECDH10B_2539",6.56680188982399,24.5,1
"817","frcK","ECDH10B_3103",36.5854282744545,174,1
"818","frdA","ECDH10B_4349",4233.10215023771,24359.5,1
"819","frdC","ECDH10B_4347",520.692264933936,3462,1
"820","frdD","ECDH10B_4346",166.223974490538,1162.5,1
"821","fre","ECDH10B_4033",320.313694989198,1416.5,1
"822","frlA","ECDH10B_3546",0.826127281562609,5,1
"823","frlB","ECDH10B_3547",6.8600934076749,31,1
"824","frlC","ECDH10B_3548",4.06405580165096,18,1
"825","frlD","ECDH10B_3549",6.88055037658399,42,1
"826","frlR","ECDH10B_3550",73.9854529211584,354,1
"827","frmA","ECDH10B_0311",1272.3241076817,6242.5,1
"828","frmB","ECDH10B_0310",420.446566358698,2070.5,1
"829","frmR","ECDH10B_0312",212.721852609347,949.5,1
"830","frr","ECDH10B_0152",953.96860119324,4892.5,1
"831","frsA","ECDH10B_0221",176.779168577887,847.5,1
"832","fruA","ECDH10B_2324",4304.13015870619,20077.5,1
"833","fruK","ECDH10B_2325",2001.17276173647,8501.5,1
"834","fruR","ECDH10B_0062",1.66378547243847,9,1
"835","frvB","ECDH10B_4089",2.58085760364835,12.5,1
"836","frvR","ECDH10B_4087",4.01923458925668,15.5,1
"837","frvX","ECDH10B_4088",4.4598230784624,22,1
"838","frwB","ECDH10B_4138",0.554595157479488,3,1
"839","frwC","ECDH10B_4137",4.36887822881513,23.5,1
"840","frwD","ECDH10B_4141",0.486712126458708,2.5,1
"841","fsaA","ECDH10B_0894",11.3864970922994,60,1
"842","fsaB","ECDH10B_4135",6.82419825487646,40.5,1
"843","fsr","ECDH10B_0435",20.6686202229546,104.5,1
