"","gene_id","Locus_tag","norm_count","raw_count","BW25113_GSE73673","BW25113_GSE85914"
"56","surA","b0053",268.36648490296,313.5,1,1
"57","lptD","b0054",347.426714914586,468.5,1,1
"58","djlA","b0055",13.9144070655629,19.5,1,1
"59","rluA","b0058",4.94251698975694,9,1,1
"60","rapA","b0059",18.1988165200981,37.5,1,1
"61","polB","b0060",14.0343176381764,21.5,1,1
"62","araD","b0061",0,0,1,1
"63","araA","b0062",0,0,1,1
"64","araB","b0063",0,0,1,1
"65","araC","b0064",20.1482737357215,26,1,1
"66","yabI","b0065",5.39694899774686,9,1,1
"67","thiQ","b0066",2.19786612933305,6,1,1
"68","thiP","b0067",3.87024784085553,8.5,1,1
"69","thiB","b0068",22.4992609142183,34,1,1
"70","sgrR","b0069",43.3552412966693,47.5,1,1
"71","setA","b0070",2.38788124869214,9,1,1
"72","leuD","b0071",487.947167415332,624,1,1
"73","leuC","b0072",1030.84188545921,1270.5,1,1
"74","leuB","b0073",771.424543393751,887.5,1,1
"75","leuA","b0074",1524.83899468799,1701.5,1,1
"76","leuL","b0075",87.6184796402347,92.5,1,1
"77","leuO","b0076",13.6862789996814,13.5,1,1
"78","ilvI","b0077",50.3721496765635,108,1,1
"79","ilvH","b0078",14.1787620488315,38,1,1
"80","cra","b0080",21.0095077568499,35.5,1,1
"81","mraZ","b0081",171.538143814549,181,1,1
"82","rsmH","b0082",154.938210056663,169.5,1,1
"83","ftsL","b0083",249.984044645725,246,1,1
"84","ftsI","b0084",41.7213611838549,76,1,1
"85","murE","b0085",75.9857678568934,101.5,1,1
"86","murF","b0086",80.4849856465245,99.5,1,1
"87","mraY","b0087",14.2741387834034,28,1,1
"88","murD","b0088",22.4448583212943,39.5,1,1
"89","ftsW","b0089",15.3370986762859,31.5,1,1
"90","murG","b0090",43.8712987684928,58.5,1,1
"91","murC","b0091",44.3128101011237,70.5,1,1
"92","ddlB","b0092",168.97252769484,191.5,1,1
"93","ftsQ","b0093",38.0391684869037,66,1,1
"94","ftsA","b0094",26.5944767860787,77,1,1
"95","ftsZ","b0095",370.92498827274,475,1,1
"96","lpxC","b0096",520.697327422573,712,1,1
"97","secM","b0097",616.336986993653,606.5,1,1
"98","secA","b0098",63.2006422755864,120,1,1
"99","mutT","b0099",18.958288123673,19,1,1
"100","yacG","b0101",37.9778498710852,40.5,1,1
"101","zapD","b0102",50.7702626558701,58,1,1
"102","coaE","b0103",110.197966097509,115.5,1,1
"103","guaC","b0104",74.9511336436385,91.5,1,1
"104","hofC","b0106",2.1632112949815,4,1,1
"105","hofB","b0107",14.8094921567865,17.5,1,1
"106","ppdD","b0108",0.525484417810559,0.5,1,1
"107","nadC","b0109",77.2243494053183,88,1,1
"108","ampD","b0110",104.955112976664,108,1,1
"109","ampE","b0111",9.95035286830546,21,1,1
"110","aroP","b0112",55.3130985810584,179.5,1,1
"111","pdhR","b0113",600.409573258354,578.5,1,1
"112","aceE","b0114",492.241463702258,838.5,1,1
"113","aceF","b0115",151.435883760652,384,1,1
"114","lpd","b0116",233.09165818967,384.5,1,1
"115","yacH","b0117",10.1271757271256,13,1,1
"116","acnB","b0118",159.611858734029,192,1,1
"117","yacL","b0119",90.2050526467947,94,1,1
"118","speD","b0120",458.846255877393,483,1,1
"119","speE","b0121",631.949745636181,633.5,1,1
"120","yacC","b0122",95.3968892629937,96.5,1,1
"121","cueO","b0123",11.9803441959796,22.5,1,1
"122","gcd","b0124",71.9158794177667,77.5,1,1
"123","hpt","b0125",46.2073333394327,55.5,1,1
"124","can","b0126",3437.03419050396,3323,1,1
"125","yadG","b0127",80.103855115512,94,1,1
"126","yadH","b0128",8.27033255084039,17,1,1
"127","yadI","b0129",4.36727167245584,8,1,1
"128","yadE","b0130",15.3820199052312,18,1,1
"129","panD","b0131",834.719903632721,812.5,1,1
"130","yadD","b0132",2.80728794797306,7.5,1,1
"131","panC","b0133",61.1009543318889,111.5,1,1
"132","panB","b0134",443.383313307303,454.5,1,1
"133","yadC","b0135",4.27492775230511,5.5,1,1
"134","yadK","b0136",3.70207506128079,4,1,1
"135","yadL","b0137",1.09181791811396,2,1,1
"136","yadM","b0138",1.05096883562112,1,1,1
"137","htrE","b0139",0.586758041549823,2,1,1
"138","yadV","b0140",0.0473682732137578,1,1,1
"139","yadN","b0141",0.0119910572613514,0.5,1,1
"140","folK","b0142",9.54041768557574,11,1,1
"141","pcnB","b0143",135.077721695214,156.5,1,1
"142","gluQ","b0144",10.641589986086,15.5,1,1
"143","dksA","b0145",118.124344146229,184,1,1
"144","sfsA","b0146",39.1419390081978,53.5,1,1
"145","ligT","b0147",70.0528238987757,70.5,1,1
"146","hrpB","b0148",5.23298416527179,15.5,1,1
"147","mrcB","b0149",51.9912283948391,77,1,1
"148","fhuA","b0150",392.853738515768,528.5,1,1
"149","fhuC","b0151",11.1811875628469,24.5,1,1
"150","fhuD","b0152",19.9402903277351,29,1,1
"151","fhuB","b0153",3.5366203392266,15.5,1,1
"152","hemL","b0154",100.60330106472,126,1,1
"153","clcA","b0155",28.3817122163666,39.5,1,1
"154","erpA","b0156",33.7431664586057,56.5,1,1
"155","yadS","b0157",1.70835488330654,6,1,1
"156","btuF","b0158",12.7300467104878,14.5,1,1
"157","mtn","b0159",146.524690826703,174.5,1,1
"158","dgt","b0160",12.9668880765566,19.5,1,1
"159","degP","b0161",39.4261486474803,63,1,1
"160","cdaR","b0162",0.643905100844953,3,1,1
"161","yaeH","b0163",111.781445627467,140,1,1
"162","yaeI","b0164",5.88245130214825,8,1,1
"163","dapD","b0166",205.371418466571,305.5,1,1
"164","glnD","b0167",155.253680517018,178,1,1
"165","map","b0168",1078.95871797634,1067,1,1
"166","rpsB","b0169",324.695073468564,641.5,1,1
"167","tsf","b0170",99.4054588363262,223.5,1,1
"168","pyrH","b0171",20.2718682402314,36,1,1
"169","frr","b0172",45.7397459152245,106,1,1
"170","dxr","b0173",43.1158264766774,54.5,1,1
"171","ispU","b0174",23.8647599338684,40,1,1
"172","cdsA","b0175",16.1908469932406,24,1,1
"173","rseP","b0176",28.9559735136928,72.5,1,1
"174","bamA","b0177",202.924527883138,348.5,1,1
"175","skp","b0178",389.281867300589,458,1,1
"176","lpxD","b0179",282.898017807577,372.5,1,1
"177","fabZ","b0180",61.4400789598567,92,1,1
"178","lpxA","b0181",44.5787354625623,91,1,1
